epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,481.275,1.64479,2.02249,2.03522,0.57412,0.43083,0.46159,0.23786,1.6599,2.04308,2.08733,0.000990365,0.000990365,0.000990365
43,492.516,1.63716,2.06067,2.04676,0.48569,0.4615,0.44155,0.20506,1.71767,2.0725,2.15773,0.000973861,0.000973861,0.000973861
44,503.881,1.6108,2.03742,2.02708,0.54274,0.4565,0.4717,0.24457,1.68139,1.98508,2.11156,0.000957358,0.000957358,0.000957358
45,515.136,1.60544,2.02457,2.02387,0.45787,0.42497,0.39535,0.20753,1.68793,2.212,2.11423,0.000940855,0.000940855,0.000940855
46,526.225,1.61536,1.97279,2.02556,0.55708,0.41026,0.46095,0.23529,1.67125,2.0169,2.09268,0.000924352,0.000924352,0.000924352
47,537.343,1.61298,1.99079,2.02382,0.53117,0.48041,0.49572,0.2456,1.68093,1.99825,2.11262,0.000907848,0.000907848,0.000907848
48,548.697,1.57761,1.95482,1.9996,0.56901,0.45058,0.47397,0.24979,1.6758,1.9816,2.10379,0.000891345,0.000891345,0.000891345
49,559.989,1.56471,1.96205,1.98447,0.51601,0.46858,0.47377,0.235,1.65043,2.00231,2.05672,0.000874842,0.000874842,0.000874842
50,571.069,1.58643,1.96263,1.99466,0.48943,0.45993,0.44518,0.22731,1.68196,2.06392,2.10548,0.000858338,0.000858338,0.000858338
51,582.364,1.58254,1.95699,1.98272,0.60145,0.44795,0.50101,0.25869,1.68511,1.94044,2.09897,0.000841835,0.000841835,0.000841835
52,593.598,1.5675,1.93144,1.97132,0.61521,0.4563,0.5132,0.26785,1.618,1.90242,2.058,0.000825332,0.000825332,0.000825332
53,604.838,1.57404,1.96256,1.98235,0.56825,0.4788,0.49432,0.25801,1.64108,1.93819,2.06743,0.000808828,0.000808828,0.000808828
54,616.122,1.55586,1.93025,1.97257,0.56608,0.52359,0.51473,0.26225,1.6267,1.99699,2.06773,0.000792325,0.000792325,0.000792325
55,627.268,1.55622,1.91763,1.97584,0.56345,0.49314,0.5173,0.25808,1.68369,1.90844,2.08173,0.000775822,0.000775822,0.000775822
56,638.385,1.53334,1.91116,1.94769,0.58238,0.43709,0.51108,0.26336,1.65675,1.91126,2.07186,0.000759318,0.000759318,0.000759318
57,649.616,1.53776,1.91885,1.96721,0.57485,0.49413,0.50449,0.27384,1.59617,1.9541,2.04287,0.000742815,0.000742815,0.000742815
58,660.828,1.55962,1.93327,1.97333,0.59325,0.48539,0.5432,0.28891,1.61954,1.84101,2.01903,0.000726312,0.000726312,0.000726312
59,671.902,1.54236,1.87542,1.95674,0.54702,0.54107,0.52139,0.28676,1.5803,1.84705,1.99468,0.000709809,0.000709809,0.000709809
60,683.022,1.5715,1.91118,1.97306,0.61745,0.48411,0.53161,0.27133,1.65734,1.85036,2.07894,0.000693305,0.000693305,0.000693305
61,694.238,1.52956,1.87984,1.94463,0.59707,0.49345,0.54585,0.29419,1.57849,1.83314,1.98295,0.000676802,0.000676802,0.000676802
62,705.52,1.50132,1.84591,1.91341,0.53499,0.48358,0.49885,0.26514,1.62838,1.91688,2.04368,0.000660299,0.000660299,0.000660299
