epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.303,3.2681,3.70061,4.15211,0.00479,0.41471,0.011,0.00499,3.36794,3.71719,4.19127,0.000546557,0.000546557,0.000546557
2,27.6391,3.08015,3.42736,3.6713,0.00602,0.4861,0.01113,0.00359,3.35542,3.6559,4.10548,0.0010804,0.0010804,0.0010804
3,39.7384,2.81532,3.28594,3.27728,0.02395,0.15073,0.01754,0.00482,2.73375,3.4055,3.25537,0.00159224,0.00159224,0.00159224
4,52.0299,2.65685,3.11052,3.08719,0.05404,0.11403,0.02393,0.00683,2.78237,5.05044,3.3251,0.00156798,0.00156798,0.00156798
5,63.6074,2.49596,3.02036,2.97251,0.08633,0.14575,0.0561,0.0177,2.52044,3.31008,3.07415,0.00153497,0.00153497,0.00153497
6,76.4091,2.39114,2.97343,2.8749,0.06701,0.14012,0.03537,0.01093,2.40883,3.23372,2.95755,0.00150197,0.00150197,0.00150197
7,88.8216,2.2629,2.88555,2.75668,0.1491,0.19218,0.08954,0.02858,2.34018,2.96257,2.85981,0.00146896,0.00146896,0.00146896
8,101.703,2.19296,2.80641,2.68578,0.1728,0.16607,0.08409,0.02927,2.24042,3.06774,2.79471,0.00143595,0.00143595,0.00143595
9,114.325,2.13033,2.75665,2.62148,0.20456,0.23491,0.13382,0.04915,2.23676,2.82049,2.7414,0.00140295,0.00140295,0.00140295
10,127.673,2.09206,2.69068,2.56482,0.19948,0.26284,0.1356,0.05388,2.13886,2.88446,2.65545,0.00136994,0.00136994,0.00136994
11,140.467,2.0342,2.65696,2.51858,0.18029,0.31318,0.16421,0.05683,2.17924,3.02055,2.67656,0.00133693,0.00133693,0.00133693
12,151.936,2.03062,2.64709,2.49652,0.25383,0.25294,0.18711,0.07394,2.14564,2.70134,2.63744,0.00130393,0.00130393,0.00130393
13,163.467,1.98985,2.56565,2.44389,0.20728,0.30964,0.15282,0.06079,2.06159,2.77209,2.52411,0.00127092,0.00127092,0.00127092
14,174.698,1.97437,2.54834,2.4443,0.32232,0.27888,0.22055,0.08363,2.04981,2.59047,2.53229,0.00123791,0.00123791,0.00123791
15,186.045,1.9569,2.50254,2.40236,0.26484,0.28084,0.20214,0.07508,2.04843,2.59214,2.52178,0.00120491,0.00120491,0.00120491
16,197.388,1.92967,2.50917,2.38405,0.24109,0.28751,0.17797,0.0592,2.12471,2.73885,2.60065,0.0011719,0.0011719,0.0011719
17,208.691,1.92293,2.48997,2.36917,0.26105,0.34538,0.22081,0.08671,2.03785,2.59905,2.51212,0.00113889,0.00113889,0.00113889
18,219.999,1.91857,2.43747,2.36383,0.34453,0.34487,0.27805,0.11203,2.00843,2.49359,2.49792,0.00110589,0.00110589,0.00110589
19,231.469,1.89995,2.43704,2.34978,0.24961,0.31895,0.1889,0.07527,1.99887,2.73826,2.45772,0.00107288,0.00107288,0.00107288
20,243.084,1.85265,2.4029,2.31634,0.34409,0.31394,0.2741,0.11444,1.98056,2.48842,2.46515,0.00103987,0.00103987,0.00103987
21,255.626,1.86541,2.41191,2.32282,0.3494,0.35118,0.28346,0.12009,1.95127,2.46094,2.42238,0.00100687,0.00100687,0.00100687
22,269.211,1.82939,2.40069,2.2974,0.39287,0.34982,0.3225,0.13266,1.91012,2.389,2.39852,0.000973861,0.000973861,0.000973861
23,281.913,1.83027,2.37451,2.28835,0.35361,0.37475,0.28781,0.109,2.01019,2.45883,2.49383,0.000940855,0.000940855,0.000940855
24,294.986,1.84162,2.39862,2.29221,0.3492,0.34235,0.28557,0.11356,1.93274,2.40667,2.4255,0.000907848,0.000907848,0.000907848
25,308.181,1.82409,2.34879,2.28587,0.40134,0.3655,0.33834,0.14236,1.92207,2.43623,2.37604,0.000874842,0.000874842,0.000874842
26,322.914,1.80903,2.30294,2.25928,0.41838,0.3996,0.35426,0.14377,1.9379,2.29366,2.40404,0.000841835,0.000841835,0.000841835
27,337.312,1.80697,2.31627,2.26122,0.43548,0.39178,0.35446,0.15398,1.89264,2.27914,2.35133,0.000808828,0.000808828,0.000808828
28,349.397,1.80805,2.29469,2.26243,0.41679,0.36205,0.35613,0.15127,1.87547,2.28151,2.33719,0.000775822,0.000775822,0.000775822
29,362.017,1.78687,2.27711,2.22338,0.42109,0.41145,0.37953,0.16366,1.92999,2.22303,2.37248,0.000742815,0.000742815,0.000742815
30,375.129,1.77691,2.25392,2.2209,0.42537,0.43624,0.38252,0.16324,1.89744,2.2502,2.35362,0.000709809,0.000709809,0.000709809
31,392.857,1.76881,2.22261,2.21232,0.42618,0.44235,0.39151,0.16842,1.89906,2.18514,2.34328,0.000676802,0.000676802,0.000676802
32,414.248,1.78581,2.24811,2.22363,0.4742,0.39532,0.40634,0.17124,1.88659,2.19958,2.328,0.000643795,0.000643795,0.000643795
33,430.684,1.78048,2.24062,2.19914,0.43332,0.42191,0.38424,0.16493,1.87577,2.15681,2.31883,0.000610789,0.000610789,0.000610789
34,442.269,1.74646,2.22017,2.19712,0.43789,0.39945,0.39545,0.18473,1.80516,2.14739,2.26493,0.000577782,0.000577782,0.000577782
35,453.831,1.74036,2.20334,2.19409,0.47631,0.4134,0.40344,0.17251,1.86697,2.21918,2.3019,0.000544776,0.000544776,0.000544776
36,464.972,1.73146,2.19454,2.17555,0.45139,0.43535,0.40694,0.1822,1.79027,2.15555,2.24569,0.000511769,0.000511769,0.000511769
37,476.345,1.74319,2.17741,2.17574,0.44111,0.42195,0.3992,0.17014,1.87257,2.16514,2.30888,0.000478762,0.000478762,0.000478762
38,487.762,1.74522,2.17689,2.17622,0.39253,0.44399,0.38387,0.17587,1.76372,2.19789,2.20163,0.000445756,0.000445756,0.000445756
39,499.032,1.72761,2.16565,2.16584,0.46379,0.42455,0.42137,0.19006,1.80536,2.10398,2.24695,0.000412749,0.000412749,0.000412749
40,510.238,1.71615,2.17247,2.16018,0.47037,0.39686,0.40498,0.17934,1.83766,2.17052,2.27466,0.000379743,0.000379743,0.000379743
41,543.354,1.68287,2.29497,2.18868,0.47241,0.42917,0.41342,0.18602,1.79268,2.14194,2.22054,0.000346736,0.000346736,0.000346736
42,554.712,1.69045,2.13919,2.21488,0.50131,0.42059,0.42082,0.17271,1.90567,2.19409,2.34019,0.000313729,0.000313729,0.000313729
43,565.804,1.67707,2.11347,2.18434,0.49964,0.42523,0.42684,0.18913,1.81731,2.15267,2.27181,0.000280723,0.000280723,0.000280723
44,576.904,1.65448,2.12282,2.17625,0.53767,0.42775,0.45653,0.19976,1.82738,2.09245,2.26715,0.000247716,0.000247716,0.000247716
45,588.099,1.64754,2.06733,2.15629,0.558,0.43443,0.46547,0.20373,1.80735,2.08621,2.25231,0.00021471,0.00021471,0.00021471
46,599.138,1.66153,2.07543,2.16696,0.53352,0.44178,0.45051,0.21103,1.79686,2.07111,2.23642,0.000181703,0.000181703,0.000181703
47,611.017,1.62972,2.04752,2.15161,0.53262,0.44032,0.46175,0.2033,1.82287,2.06785,2.25912,0.000148696,0.000148696,0.000148696
48,623.243,1.63084,2.04293,2.13773,0.51401,0.45998,0.46545,0.21111,1.80753,2.05186,2.23606,0.00011569,0.00011569,0.00011569
49,635.162,1.63064,2.03036,2.13453,0.52239,0.45986,0.46509,0.22265,1.75873,2.02134,2.18331,8.26832e-05,8.26832e-05,8.26832e-05
50,647.865,1.6169,1.98597,2.12254,0.51966,0.45662,0.46676,0.21689,1.79635,2.0421,2.22186,4.96766e-05,4.96766e-05,4.96766e-05
