epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6791,3.38389,3.75427,4.14995,0.0048,0.41392,0.00701,0.00237,3.37929,3.73077,4.20887,0.000546557,0.000546557,0.000546557
2,27.3221,3.15995,3.45931,3.63667,0.00621,0.46527,0.0077,0.00231,3.24542,3.96888,3.74612,0.00109131,0.00109131,0.00109131
3,40.6626,2.89114,3.30355,3.26346,0.05437,0.12416,0.03486,0.01204,2.92515,4.4841,3.37172,0.00162506,0.00162506,0.00162506
4,54.4265,2.71526,3.15824,3.0754,0.08304,0.15107,0.04154,0.01241,2.61012,3.32393,3.23322,0.00161749,0.00161749,0.00161749
5,65.8504,2.55348,3.03389,2.93919,0.05593,0.2097,0.03813,0.01234,2.459,4.23825,2.97351,0.00160099,0.00160099,0.00160099
6,76.6862,2.43166,2.95233,2.81498,0.17114,0.22145,0.09418,0.03195,2.34261,3.31489,2.82816,0.00158448,0.00158448,0.00158448
7,87.7812,2.31074,2.8726,2.70811,0.12573,0.21318,0.08375,0.02903,2.26353,3.16998,2.81829,0.00156798,0.00156798,0.00156798
8,98.6055,2.2435,2.77714,2.62834,0.20937,0.20229,0.1091,0.03854,2.26791,2.86294,2.73512,0.00155148,0.00155148,0.00155148
9,109.457,2.1601,2.69323,2.545,0.19376,0.24728,0.13664,0.04211,2.39795,2.74563,2.78511,0.00153497,0.00153497,0.00153497
10,120.374,2.08073,2.62432,2.47687,0.22317,0.29468,0.18716,0.07271,2.0449,2.73206,2.51916,0.00151847,0.00151847,0.00151847
11,131.16,2.03476,2.55889,2.42935,0.23843,0.31496,0.16499,0.06598,2.01771,2.57031,2.48176,0.00150197,0.00150197,0.00150197
12,142.041,2.01518,2.54795,2.37899,0.2684,0.35011,0.20906,0.07905,2.05213,2.60946,2.47728,0.00148546,0.00148546,0.00148546
13,153.458,1.99241,2.48486,2.35494,0.31238,0.31702,0.23984,0.09561,2.03062,2.48965,2.45781,0.00146896,0.00146896,0.00146896
14,164.271,1.95288,2.43846,2.31431,0.26342,0.32085,0.22944,0.09912,1.92053,2.45222,2.37289,0.00145246,0.00145246,0.00145246
15,175.016,1.91505,2.39435,2.26902,0.3417,0.32764,0.27654,0.12189,1.90257,2.39751,2.35074,0.00143595,0.00143595,0.00143595
16,185.702,1.87582,2.38439,2.24566,0.31976,0.32529,0.27802,0.12242,1.89089,2.40834,2.35101,0.00141945,0.00141945,0.00141945
17,196.42,1.85924,2.34663,2.23488,0.35022,0.38794,0.30837,0.12133,1.8821,2.32026,2.31433,0.00140295,0.00140295,0.00140295
18,207.089,1.85275,2.30884,2.2116,0.41513,0.33502,0.3116,0.13499,1.9053,2.36369,2.38857,0.00138644,0.00138644,0.00138644
19,217.825,1.83794,2.29407,2.19491,0.3676,0.38754,0.31189,0.13443,1.87974,2.27548,2.31556,0.00136994,0.00136994,0.00136994
20,228.524,1.7834,2.25341,2.17229,0.40754,0.42959,0.3429,0.15674,1.82206,2.26645,2.27404,0.00135344,0.00135344,0.00135344
21,239.164,1.76763,2.24226,2.15953,0.45548,0.38194,0.3682,0.16993,1.76888,2.17914,2.23561,0.00133693,0.00133693,0.00133693
22,249.85,1.77694,2.23071,2.1557,0.39059,0.37673,0.3375,0.1462,1.84621,2.33384,2.29943,0.00132043,0.00132043,0.00132043
23,260.443,1.75782,2.20026,2.13581,0.4679,0.43386,0.39526,0.18197,1.77992,2.20282,2.18437,0.00130393,0.00130393,0.00130393
24,271.1,1.75346,2.2223,2.13678,0.43732,0.41397,0.36745,0.17756,1.75031,2.19005,2.21136,0.00128742,0.00128742,0.00128742
25,281.613,1.732,2.16512,2.10754,0.43256,0.41932,0.39633,0.19147,1.74168,2.11696,2.1884,0.00127092,0.00127092,0.00127092
26,292.208,1.71264,2.13653,2.08319,0.45193,0.45099,0.40075,0.18963,1.7163,2.10175,2.15954,0.00125442,0.00125442,0.00125442
27,303.02,1.68568,2.13385,2.05464,0.43196,0.44876,0.37851,0.18423,1.74733,2.13195,2.16446,0.00123791,0.00123791,0.00123791
28,313.815,1.68534,2.10516,2.07231,0.4307,0.46406,0.39505,0.1973,1.67393,2.04893,2.12073,0.00122141,0.00122141,0.00122141
29,325.3,1.67227,2.07779,2.04718,0.43462,0.42195,0.39326,0.19383,1.69111,2.19518,2.13629,0.00120491,0.00120491,0.00120491
30,337.007,1.66318,2.07459,2.02668,0.43765,0.4626,0.43147,0.21311,1.69655,2.04315,2.12602,0.0011884,0.0011884,0.0011884
31,348.859,1.65597,2.02602,2.02714,0.49993,0.43632,0.446,0.21895,1.67811,2.0467,2.12064,0.0011719,0.0011719,0.0011719
32,359.94,1.65467,2.03226,2.02097,0.50354,0.47051,0.47043,0.2282,1.69041,2.00732,2.11204,0.0011554,0.0011554,0.0011554
33,371.293,1.64552,2.03297,2.01179,0.44792,0.50437,0.43853,0.22589,1.6704,2.07782,2.09599,0.00113889,0.00113889,0.00113889
34,382.394,1.60779,2.00709,1.99279,0.52417,0.41208,0.44616,0.22983,1.59693,2.03681,2.04994,0.00112239,0.00112239,0.00112239
35,395.231,1.60757,2.03039,1.98841,0.4946,0.42532,0.41881,0.21226,1.64363,2.11626,2.08555,0.00110589,0.00110589,0.00110589
36,407.103,1.59635,1.9878,1.97082,0.55219,0.48825,0.50326,0.26089,1.59632,1.92809,2.01923,0.00108938,0.00108938,0.00108938
37,418.975,1.59736,1.97206,1.96331,0.53712,0.49665,0.49492,0.25421,1.6171,1.93315,2.04205,0.00107288,0.00107288,0.00107288
38,429.954,1.58792,1.96233,1.9566,0.53238,0.46161,0.49191,0.25775,1.58981,1.98368,2.02812,0.00105638,0.00105638,0.00105638
39,441.248,1.58318,1.9646,1.96833,0.59746,0.46043,0.50579,0.26008,1.59696,1.9306,2.04591,0.00103987,0.00103987,0.00103987
40,453.274,1.56333,1.9467,1.94721,0.51736,0.52802,0.49691,0.26509,1.58762,1.90155,2.01603,0.00102337,0.00102337,0.00102337
