epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4139,3.38389,3.75427,4.14995,0.0048,0.41392,0.00701,0.00237,3.37929,3.73077,4.20887,0.000546557,0.000546557,0.000546557
2,28.0916,3.16164,3.45333,3.63689,0.00544,0.45842,0.00933,0.00275,3.30675,3.77111,3.90724,0.0010804,0.0010804,0.0010804
3,40.7354,2.87109,3.31097,3.27324,0.03116,0.09442,0.01625,0.00482,2.88855,3.53975,3.42767,0.00159224,0.00159224,0.00159224
4,53.1795,2.70666,3.13789,3.0488,0.0569,0.12235,0.02611,0.00697,2.72101,5.55049,3.27156,0.00156798,0.00156798,0.00156798
5,66.0113,2.52705,3.04142,2.91214,0.05114,0.2058,0.03913,0.01254,2.41938,3.98259,2.94094,0.00153497,0.00153497,0.00153497
6,78.4872,2.42553,2.94297,2.79465,0.16716,0.20744,0.11101,0.03416,2.41606,2.8761,2.86831,0.00150197,0.00150197,0.00150197
7,90.8566,2.2962,2.83112,2.68414,0.2167,0.22416,0.12584,0.04533,2.21728,2.77922,2.71265,0.00146896,0.00146896,0.00146896
8,103.458,2.24655,2.75519,2.61842,0.16574,0.24762,0.10977,0.0395,2.16082,2.99443,2.62611,0.00143595,0.00143595,0.00143595
9,115.91,2.16846,2.72093,2.55409,0.20944,0.20701,0.13127,0.04962,2.20338,2.70011,2.68169,0.00140295,0.00140295,0.00140295
10,128.218,2.08597,2.62124,2.49387,0.24148,0.32653,0.18798,0.07355,2.05049,2.56968,2.5536,0.00136994,0.00136994,0.00136994
11,140.748,2.04006,2.56239,2.44149,0.24573,0.3057,0.18242,0.07338,2.00744,2.54315,2.47473,0.00133693,0.00133693,0.00133693
12,152.95,2.01956,2.54126,2.39712,0.31032,0.35262,0.22156,0.08284,2.03499,2.54531,2.50862,0.00130393,0.00130393,0.00130393
13,165.178,1.9883,2.47295,2.36009,0.34062,0.34043,0.27154,0.11021,1.98445,2.45194,2.46964,0.00127092,0.00127092,0.00127092
14,177.486,1.95188,2.42858,2.33948,0.38288,0.29586,0.26742,0.11091,1.92874,2.42351,2.37534,0.00123791,0.00123791,0.00123791
15,189.782,1.9128,2.41031,2.28918,0.31237,0.26904,0.22001,0.09841,1.98196,2.54191,2.42158,0.00120491,0.00120491,0.00120491
16,202.205,1.89418,2.39848,2.27874,0.38349,0.3233,0.3056,0.13605,1.86145,2.39594,2.341,0.0011719,0.0011719,0.0011719
17,214.508,1.86551,2.34935,2.25156,0.30871,0.39857,0.27774,0.11415,1.94914,2.4512,2.40649,0.00113889,0.00113889,0.00113889
18,226.767,1.86432,2.30708,2.24272,0.3788,0.33655,0.29701,0.13281,1.85753,2.33481,2.32087,0.00110589,0.00110589,0.00110589
19,239.286,1.83263,2.28766,2.20269,0.38065,0.37461,0.3402,0.15076,1.86132,2.28749,2.27921,0.00107288,0.00107288,0.00107288
20,251.637,1.80039,2.24925,2.18849,0.38289,0.38395,0.33513,0.1372,1.87349,2.27048,2.3148,0.00103987,0.00103987,0.00103987
21,263.909,1.78345,2.24919,2.18544,0.42859,0.36572,0.35826,0.17318,1.77455,2.1995,2.25234,0.00100687,0.00100687,0.00100687
22,276.672,1.76571,2.24254,2.16568,0.41608,0.39982,0.36932,0.17863,1.77129,2.20804,2.23221,0.000973861,0.000973861,0.000973861
23,289.277,1.76128,2.1986,2.15384,0.37708,0.4046,0.34066,0.16309,1.7913,2.25649,2.23253,0.000940855,0.000940855,0.000940855
24,301.546,1.74275,2.2092,2.1362,0.46349,0.40562,0.38594,0.19274,1.73957,2.1439,2.20203,0.000907848,0.000907848,0.000907848
25,313.841,1.74821,2.15817,2.13912,0.44625,0.39913,0.38615,0.18602,1.77027,2.15185,2.2081,0.000874842,0.000874842,0.000874842
26,325.883,1.71738,2.13063,2.09725,0.48168,0.42237,0.40763,0.19672,1.71475,2.1092,2.13988,0.000841835,0.000841835,0.000841835
27,338.234,1.69583,2.12183,2.07879,0.48969,0.39982,0.41166,0.20259,1.7363,2.13413,2.17055,0.000808828,0.000808828,0.000808828
28,350.429,1.69892,2.09275,2.0993,0.45721,0.40534,0.40044,0.20382,1.69991,2.14827,2.16311,0.000775822,0.000775822,0.000775822
29,362.812,1.68266,2.06287,2.0692,0.47308,0.41505,0.41327,0.21257,1.68789,2.09392,2.14453,0.000742815,0.000742815,0.000742815
30,375.303,1.66637,2.05858,2.04812,0.5114,0.44679,0.46587,0.2344,1.68156,2.0108,2.1436,0.000709809,0.000709809,0.000709809
