epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.287,3.42237,3.74938,4.14981,0.00508,0.42968,0.0086,0.00292,3.3433,3.97013,4.15788,0.000546557,0.000546557,0.000546557
2,425.967,3.12781,3.44351,3.64961,0.00396,0.41357,0.0034,0.00109,3.49662,4.0667,4.49067,0.0010804,0.0010804,0.0010804
3,686.609,2.86321,3.3498,3.27991,0.0287,0.21497,0.01665,0.00426,2.8099,23.2236,3.33341,0.00159224,0.00159224,0.00159224
4,952.431,2.70327,3.19725,3.05536,0.0993,0.07713,0.04328,0.0126,2.72276,3.82381,3.35161,0.00156798,0.00156798,0.00156798
